SSDSE-B-2026,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,G5105,G7101,G7102,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,H5609,H5610,H5614,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
îNìx,ínàÊÉRÅ[Éh,ìsìπï{åß,ëçêlå˚,ëçêlå˚ÅiíjÅj,ëçêlå˚ÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,15çŒñ¢ñûêlå˚,15çŒñ¢ñûêlå˚ÅiíjÅj,15çŒñ¢ñûêlå˚ÅièóÅj,15Å`64çŒêlå˚,15Å`64çŒêlå˚ÅiíjÅj,15Å`64çŒêlå˚ÅièóÅj,65çŒà»è„êlå˚,65çŒà»è„êlå˚ÅiíjÅj,65çŒà»è„êlå˚ÅièóÅj,èoê∂êî,èoê∂êîÅiíjÅj,èoê∂êîÅièóÅj,çáåvì¡éÍèoê∂ó¶,éÄñSêî,éÄñSêîÅiíjÅj,éÄñSêîÅièóÅj,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“ÅjÅiíjÅj,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“ÅjÅièóÅj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“ÅjÅiíjÅj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“ÅjÅièóÅj,ç•à˜åèêî,ó£ç•åèêî,îNïΩãœãCâ∑,ç≈çÇãCâ∑Åiì˙ç≈çÇãCâ∑ÇÃåéïΩãœÇÃç≈çÇílÅj,ç≈í·ãCâ∑Åiì˙ç≈í·ãCâ∑ÇÃåéïΩãœÇÃç≈í·ílÅj,ç~êÖì˙êîÅiîNä‘Åj,ç~êÖó ÅiîNä‘Åj,íÖçHåöízï®êî,íÖçHåöízï®è∞ñ êœ,ó∑äŸâcã∆é{ê›êîÅiÉzÉeÉãÇä‹ÇﬁÅj,ó∑äŸâcã∆é{ê›ãqé∫êîÅiÉzÉeÉãÇä‹ÇﬁÅj,ïWèÄâøäiÅiïΩãœâøäiÅjÅièZëÓínÅj,ïWèÄâøäiÅiïΩãœâøäiÅjÅiè§ã∆ínÅj,ócítâÄêî,ócítâÄã≥àıêî,ócítâÄç›âÄé“êî,è¨äwçZêî,è¨äwçZã≥àıêî,è¨äwçZéôì∂êî,íÜäwçZêî,íÜäwçZã≥àıêî,íÜäwçZê∂ìkêî,íÜäwçZë≤ã∆é“êî,íÜäwçZë≤ã∆é“ÇÃÇ§Çøêiäwé“êî,çÇìôäwçZêî,çÇìôäwçZã≥àıêî,çÇìôäwçZê∂ìkêî,çÇìôäwçZë≤ã∆é“êî,çÇìôäwçZë≤ã∆é“ÇÃÇ§Çøêiäwé“êî,íZä˙ëÂäwêî,ëÂäwêî,íZä˙ëÂäwã≥àıêî,ëÂäwã≥àıêî,íZä˙ëÂäwäwê∂êî,ëÂäwäwê∂êî,íZä˙ëÂäwë≤ã∆é“êî,íZä˙ëÂäwë≤ã∆é“ÇÃÇ§Çøêiäwé“êî,ëÂäwë≤ã∆é“êî,ëÂäwë≤ã∆é“ÇÃÇ§Çøêiäwé“êî,êÍèCäwçZêî,äeéÌäwçZêî,êÍèCäwçZê∂ìkêî,äeéÌäwçZê∂ìkêî,êVãKãÅêEê\çûåèêîÅiàÍî Åj,åéä‘óLå¯ãÅêEé“êîÅiàÍî Åj,åéä‘óLå¯ãÅêlêîÅiàÍî Åj,è[ë´êîÅiàÍî Åj,èAêEåèêîÅiàÍî Åj,àÍî ó∑åîî≠çsåèêî,âÑÇ◊èhîëé“êî,äOçëêlâÑÇ◊èhîëé“êî,íÖçHêVê›èZëÓåÀêî,íÖçHêVê›éùâ∆êî,íÖçHêVê›ë›â∆êî,íÖçHêVê›ï™è˜èZëÓêî,íÖçHêVê›èZëÓè∞ñ êœ,íÖçHêVê›éùâ∆è∞ñ êœ,íÖçHêVê›ï™è˜èZëÓè∞ñ êœ,íÖçHêVê›ë›â∆è∞ñ êœ,Ç≤Ç›ëçîrèoó Åiëçó Åj,1êl1ì˙ìñÇΩÇËÇÃîrèoó ,Ç≤Ç›ÇÃÉäÉTÉCÉNÉãó¶,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,ï€àÁèäìôêî,ï€àÁèäìôíËàıêî,ï€àÁèäìôóòópë“ã@éôì∂êî,ï€àÁèäìôç›èäéôêî,ï€àÁèäìôï€àÁémêî,è¡îÔéxèoÅiìÒêlà»è„ÇÃê¢ë—Åj,êHóøîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,èZãèîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,åıîMÅEêÖìπîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,â∆ãÔÅEâ∆éñópïiîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,îÌïûãyÇ—óöï®îÔÅiìÒêlà»è„ÇÃê¢ë—Åj,ï€åíà„ó√îÔÅiìÒêlà»è„ÇÃê¢ë—Åj,åí ÅEí êMîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,ã≥àÁîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,ã≥ó{å‚äyîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,ÇªÇÃëºÇÃè¡îÔéxèoÅiìÒêlà»è„ÇÃê¢ë—Åj
2023,R01000,ñkäCìπ,5092000,2405000,2688000,5041000,2380000,2661000,514000,263000,251000,2897000,1440000,1457000,1681000,702000,979000,24430,12628,11802,1.06,75120,37340,37780,47388,28305,19083,52915,29899,23016,17281,8629,11.0,30.9,-7.4,125,966.0,15872,3811486,2901,121688,23600,107800,331,4236,29964,950,18691,221397,563,11333,119115,40250,37052,270,9704,109290,34467,18177,14,37,261,6677,3137,79983,1528,227,17604,2299,159,49,25399,2993,156458,708391,762659,27923,28314,77666,32783470,6184810,28469,8168,15872,3878,2224377,958660,383849,836712,1704071,912,22.8,464,3403,2742,790,65417,62,48159,9194,296888,74341,26730,28337,10193,10396,15491,50133,6911,25661,48694
2022,R01000,ñkäCìπ,5140000,2427000,2714000,5098000,2407000,2692000,530000,271000,259000,2924000,1451000,1473000,1686000,705000,982000,26407,13605,12802,1.12,74437,37083,37354,49084,29353,19731,53107,29912,23195,18665,8398,10.2,27.3,-6.3,137,1154.0,18026,4142876,2942,123430,22000,97300,347,4454,33715,966,18900,227372,573,11390,120587,40553,37789,272,9853,112146,36375,18726,15,37,269,6668,3531,80309,1714,278,17611,2329,159,48,25974,3183,166170,720500,836962,29461,29643,27026,24664930,741410,29576,9499,14251,5324,2447072,1136716,513648,766384,1763487,937,22.9,465,3436,2784,1099,88268,22,79262,9863,277737,73037,24873,30010,10156,8928,12080,35403,9551,27234,46466
2021,R01000,ñkäCìπ,5183000,2446000,2737000,5147000,2429000,2717000,544000,278000,266000,2953000,1463000,1490000,1686000,705000,981000,28762,14724,14038,1.20,69023,34652,34371,48832,29331,19501,50979,29341,21638,19326,8662,10.2,29.0,-8.2,122,1089.0,20951,4832268,2951,122008,20800,90800,366,4816,38009,984,19028,231714,579,11549,122742,41404,39009,272,9980,115335,38179,19180,15,37,285,6617,4069,79729,2054,425,17071,2245,159,48,25852,3115,166966,733364,773360,30196,30233,10839,15812120,46380,32091,11616,14536,5377,2723810,1400286,531307,765061,1781315,941,23.5,471,3400,2818,1075,85202,68,76885,9713,268396,71448,22013,26676,9912,8816,13788,30483,9913,23762,51583
2020,R01000,ñkäCìπ,5224614,2465088,2759526,5151366,2429697,2721669,555804,284510,271294,2945727,1451491,1494236,1664023,696197,967826,29523,15187,14336,1.21,65078,32794,32284,48494,29310,19184,50418,29029,21389,20904,9070,10.0,28.1,-5.3,151,905.0,19917,4907150,2877,117115,20000,88500,385,4896,41743,999,19071,236396,586,11576,123129,40691,38715,276,10158,119773,39200,18902,15,37,294,6636,4463,79409,2128,354,17011,2241,159,47,24798,3439,174993,727242,723725,32105,32099,30570,17555910,1798840,31772,11068,15262,5110,2677390,1344364,509203,802650,1810945,949,23.4,479,3351,2840,1045,84821,134,79404,9949,301683,77680,27305,27309,12255,9227,14251,41407,9394,26539,56316
2019,R01000,ñkäCìπ,5259000,2480000,2780000,5223000,2464000,2759000,565000,289000,276000,3012000,1484000,1528000,1673000,699000,973000,31020,15988,15032,1.24,65498,33134,32364,47737,28614,19123,55467,31526,23941,23417,9833,9.8,26.5,-5.9,131,814.0,21463,4943285,2863,115751,19200,83700,404,4914,45449,1027,19145,239792,595,11679,124575,42181,40456,277,10337,123112,39976,19067,15,37,296,6683,4705,78612,2294,330,16702,2128,164,49,24958,3564,185268,696212,851533,39557,40059,119613,32197700,7975750,32486,11821,15625,4707,2776067,1444004,465364,843404,1850519,960,23.2,484,3397,2884,1020,82008,152,76397,9837,294682,72912,20862,26332,9895,10466,16466,42277,8848,29335,57289
2018,R01000,ñkäCìπ,5293000,2495000,2798000,5262000,2482000,2780000,577000,295000,282000,3052000,1502000,1551000,1656000,692000,964000,32642,16681,15961,1.27,64187,32757,31430,47269,28263,19006,55222,31407,23815,22916,9971,9.5,25.7,-7.6,157,1282.0,21437,5192636,2868,111049,19000,78200,422,4995,48586,1045,19108,243511,597,11673,126986,43997,42428,280,10444,125164,40223,18569,16,38,293,6707,5013,78122,2415,344,16831,2112,168,49,25820,3780,200363,734530,870195,43961,44510,111793,30401200,7689550,35761,11740,19535,4067,2934844,1445452,415385,1041957,1875810,969,23.9,486,3392,2905,1003,80564,129,76931,10221,281054,69044,19089,27012,8845,11517,11437,39308,10825,26991,56984
2017,R01000,ñkäCìπ,5325000,2510000,2815000,5298000,2499000,2799000,588000,301000,288000,3099000,1523000,1576000,1632000,683000,950000,34058,17511,16547,1.29,62451,32012,30439,48561,29134,19427,55130,31448,23682,23969,10151,9.1,27.7,-7.0,146,1158.0,21430,5480381,2897,108959,18800,68800,438,4929,51182,1061,19078,245504,611,11907,131051,44746,43333,283,10484,126799,40859,18570,16,38,294,6745,5112,77841,2375,264,16707,2176,169,52,26928,4119,211045,772601,856866,47555,48178,107166,30867650,7265810,37062,11466,21052,4134,3014254,1417542,438020,1132127,1873027,961,24.3,493,3384,2934,979,77751,65,73231,10393,286698,69640,24217,25633,10550,11222,12242,39559,9837,26797,57003
2016,R01000,ñkäCìπ,5355000,2523000,2831000,5330000,2514000,2817000,600000,306000,294000,3150000,1545000,1605000,1602000,670000,932000,35129,17890,17239,1.29,61920,32079,29841,48544,29032,19512,55418,31974,23444,24640,10477,9.3,28.3,-5.9,152,1360.0,21294,5286695,2891,107973,18300,62800,459,4991,54361,1074,19066,248124,622,12159,134328,45568,44298,284,10598,129006,42484,18897,17,37,292,6726,5150,77556,2444,250,17198,2173,171,54,28512,4181,228449,827073,839594,51494,52194,98811,29125450,6165450,37515,11312,21810,4018,3080563,1421197,430776,1201056,1902079,970,24.3,493,3380,2968,908,73405,94,70119,10202,287325,69445,17071,24438,9533,11106,12431,43681,10751,29305,59564
2015,R01000,ñkäCìπ,5381733,2537089,2844644,5348768,2522980,2825788,608296,310387,297909,3190804,1561879,1628925,1558387,651286,907101,36696,18838,17858,1.31,60667,31391,29276,47584,28603,18981,56446,32734,23712,25465,11212,10.0,26.4,-4.6,144,1274.5,20268,5008776,2964,108364,18000,58900,490,5133,58100,1106,19258,252482,633,12283,135857,45414,44198,286,10691,131682,42836,18561,17,37,306,6715,5272,77760,2471,256,16946,2171,171,54,29996,4500,247779,893513,821367,55940,56428,85840,28415760,5413800,34329,10904,19539,3608,2864467,1372115,376182,1093954,1944416,984,24.3,497,3370,2983,927,74333,182,70802,10805,272124,65912,22201,26068,9253,11984,12381,35895,9302,26930,52197
