"narr86","nfarr86","nparr86","pcnv","avgsen","tottime","ptime86","qemp86","inc86","durat","black","hispan","born60","pcnvsq","pt86sq","inc86sq"
0,0,0,0.379999995231628,17.6000003814697,35.2000007629395,12,0,0,0,0,0,1,0.144400000572205,144,0
2,2,0,0.439999997615814,0,0,0,1,0.800000011920929,0,0,1,0,0.193599998950958,0,0.64000004529953
1,1,0,0.330000013113022,22.7999992370605,22.7999992370605,0,0,0,11,1,0,1,0.108900010585785,0,0
2,2,1,0.25,0,0,5,2,8.80000019073486,0,0,1,1,0.0625,25,77.4400024414062
1,1,0,0,0,0,0,2,8.10000038146973,1,0,0,0,0,0,65.6100082397461
0,0,0,1,0,0,0,4,97.5999984741211,0,0,0,1,1,0,9525.759765625
2,2,1,0.439999997615814,0,0,0,0,0,1,1,0,1,0.193599998950958,0,0
5,3,5,0.75,0,0,0,0,0,3,0,0,1,0.5625,0,0
0,0,0,0.330000013113022,10.8999996185303,21.7999992370605,9,0,0,19.2999992370605,1,0,1,0.108900010585785,81,0
0,0,0,0.230000004172325,0,0,0,3,16.7000007629395,0,0,1,1,0.0529000014066696,0,278.890014648438
1,1,0,0,0,0,0,4,162.5,0,0,0,1,0,0,26406.25
0,0,0,0.170000001788139,31.7000007629395,63.4000015258789,12,0,0,0,0,1,0,0.0289000011980534,144,0
0,0,0,0.330000013113022,0,0,0,4,32.9000015258789,0,0,0,1,0.108900010585785,0,1082.41015625
0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0
1,1,0,0,0,0,0,4,174.5,0,0,0,1,0,0,30450.25
0,0,0,0.200000002980232,59.2000007629395,59.2000007629395,3,1.70000004768372,14.3000001907349,4.30000019073486,1,0,1,0.0400000028312206,9,204.490005493164
1,1,0,0.379999995231628,0,0,0,0,0,18,1,0,1,0.144400000572205,0,0
0,0,0,0.5,0,0,0,4,154,0,0,0,1,0.25,0,23716
0,0,0,0.600000023841858,7.90000009536743,23.7000007629395,0,0,0,11,1,0,0,0.360000014305115,0,0
0,0,0,0.5,0,0,0,4,100.300003051758,0,0,0,0,0.25,0,10060.0908203125
3,2,0,0.469999998807907,5.59999990463257,22.3999996185303,0,0,0,4.80000019073486,0,1,1,0.220899999141693,0,0
1,0,0,0.170000001788139,4,4,0,2,16.2000007629395,0,1,0,1,0.0289000011980534,0,262.440032958984
0,0,0,0.219999998807907,6.90000009536743,20.7000007629395,0,4,144.100006103516,0,0,1,1,0.0483999997377396,0,20764.8125
0,0,0,0.469999998807907,31.8999996185303,31.8999996185303,12,0,0,0,1,0,1,0.220899999141693,144,0
0,0,0,0.360000014305115,18.7000007629395,37.4000015258789,0,0,0,5,0,0,1,0.129600003361702,0,0
0,0,0,0.400000005960464,0,0,2,0,0,19,1,0,0,0.160000011324883,4,0
0,0,0,0.330000013113022,0,0,0,2,17.1000003814697,0,0,0,1,0.108900010585785,0,292.410003662109
0,0,0,0.5,0,0,0,0,0,15,0,1,1,0.25,0,0
0,0,0,0.330000013113022,6.30000019073486,25.2000007629395,12,0,0,0,0,0,0,0.108900010585785,144,0
0,0,0,0.200000002980232,0,0,0,3,54.0999984741211,0,0,0,1,0.0400000028312206,0,2926.80981445312
2,0,0,0,0,0,0,1,11.1999998092651,1,0,0,0,0,0,125.439994812012
0,0,0,1,0,0,0,0,0,7,0,0,1,1,0,0
1,0,0,0.400000005960464,0,0,5,0,0,15,0,0,1,0.160000011324883,25,0
0,0,0,0.330000013113022,36.0999984741211,36.0999984741211,0,4,7.59999990463257,0,0,1,0,0.108900010585785,0,57.7599983215332
2,1,0,0.6700000166893,0,0,0,1,0.5,0,0,1,1,0.448900014162064,0,0.25
0,0,0,1,0,0,0,3,16.7999992370605,1,0,0,1,1,0,282.239959716797
0,0,0,0.330000013113022,0,0,12,0,0,0,0,0,0,0.108900010585785,144,0
0,0,0,0,0,0,0,4,63,0,0,1,1,0,0,3969
2,2,2,0,0,0,1,2,52.5999984741211,0,0,0,0,0,1,2766.759765625
1,1,1,0.430000007152557,0,0,0,1,15.8999996185303,1,0,1,1,0.184900000691414,0,252.809982299805
0,0,0,0.5,0,0,0,0,0,6,0,0,1,0.25,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0.389999985694885,11.3000001907349,11.3000001907349,0,3,29.7000007629395,0,0,1,0,0.15209998190403,0,882.090026855469
0,0,0,0.5,0,0,0,0,0,1,1,0,1,0.25,0,0
3,2,2,0.439999997615814,0,0,0,1,3.79999995231628,0,0,1,1,0.193599998950958,0,14.4399995803833
0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,0
2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0.569999992847443,0,0,0,4,91.5,0,0,0,1,0.32490000128746,0,8372.25
2,1,1,0.409999996423721,0,0,0,1,1.79999995231628,13,0,1,0,0.168099999427795,0,3.23999977111816
1,1,1,0,0,0,0,4,144,0,1,0,0,0,0,20736
0,0,0,0.100000001490116,0,0,0,4,45.5999984741211,0,0,1,0,0.0100000007078052,0,2079.35986328125
0,0,0,1,0,0,0,4,66.5,0,0,0,1,1,0,4422.25
1,1,0,0.8299999833107,0,0,0,1,6.19999980926514,0,0,1,1,0.688899993896484,0,38.439998626709
1,1,0,0,0,0,0,4,90.0999984741211,0,0,0,1,0,0,8118.009765625
0,0,0,0.330000013113022,0,0,8,0,0,2,1,0,1,0.108900010585785,64,0
0,0,0,0,0,0,0,4,169.300003051758,0,0,0,0,0,0,28662.490234375
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0.5,0,0,0,0,0,11,0,0,0,0.25,0,0
0,0,0,0.330000013113022,0,0,12,0,0,0,0,1,1,0.108900010585785,144,0
1,0,0,0.330000013113022,0,0,0,0,0,1,1,0,1,0.108900010585785,0,0
0,0,0,0.600000023841858,6.19999980926514,6.19999980926514,0,0,0,5,0,0,1,0.360000014305115,0,0
1,0,1,0,0,0,0,1,17.2000007629395,13,0,0,1,0,0,295.840026855469
0,0,0,1,0,0,0,2,3.29999995231628,12,0,0,0,1,0,10.8899993896484
1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
1,1,0,0.330000013113022,12.8999996185303,25.7999992370605,6,0,0,1,1,0,1,0.108900010585785,36,0
0,0,0,0,0,0,0,4,103.699996948242,0,0,0,1,0,0,10753.689453125
0,0,0,1,11.8000001907349,35.4000015258789,12,0,0,0,1,0,0,1,144,0
0,0,0,0.5,5.59999990463257,5.59999990463257,0,4,60.7000007629395,0,0,0,1,0.25,0,3684.48999023438
1,1,0,0.5,0,0,0,4,51.7999992370605,0,0,1,0,0.25,0,2683.23999023438
3,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0
3,2,1,0.5,0,0,0,0,0,8,0,1,0,0.25,0,0
0,0,0,1,0,0,0,2,46.2000007629395,15,0,0,1,1,0,2134.44018554688
0,0,0,0.25,0,0,0,1,3.79999995231628,0,0,0,0,0.0625,0,14.4399995803833
1,1,0,1,0,0,0,2,14.3000001907349,3,0,0,1,1,0,204.490005493164
1,0,0,0.330000013113022,0,0,0,1,0.899999976158142,0,0,1,1,0.108900010585785,0,0.809999942779541
0,0,0,0.430000007152557,0,0,0,0,0,12,0,1,0,0.184900000691414,0,0
0,0,0,0.25,0,0,0,4,58.2000007629395,0,0,1,0,0.0625,0,3387.23999023438
0,0,0,0.200000002980232,0,0,0,0,0,9,0,0,0,0.0400000028312206,0,0
0,0,0,0,0,0,0,4,50.4000015258789,0,1,0,0,0,0,2540.16015625
2,2,2,0.540000021457672,5.5,11,0,3,37.5999984741211,1,1,0,1,0.2916000187397,0,1413.75988769531
1,0,1,0.5,0,0,0,1,0.5,7,0,0,1,0.25,0,0.25
0,0,0,0.75,0,0,0,0,0,3,1,0,1,0.5625,0,0
2,2,1,0.0900000035762787,0,0,0,0,0,6,1,0,0,0.00810000021010637,0,0
0,0,0,0.170000001788139,0,0,0,4,263.799987792969,0,1,0,1,0.0289000011980534,0,69590.4296875
1,1,0,0.200000002980232,0,0,0,3,41,0,1,0,1,0.0400000028312206,0,1681
0,0,0,0.430000007152557,0,0,0,2,7.59999990463257,0,0,0,1,0.184900000691414,0,57.7599983215332
0,0,0,0.25,0,0,0,4,108.300003051758,0,0,0,1,0.0625,0,11728.890625
0,0,0,0,20.2999992370605,20.2999992370605,0,3,82.5,0,0,0,1,0,0,6806.25
2,1,0,0.330000013113022,0,0,0,1,28.3999996185303,19,1,0,1,0.108900010585785,0,806.559997558594
2,1,1,0.449999988079071,9.5,9.5,0,4,80.3000030517578,0,1,0,1,0.202499985694885,0,6448.09033203125
1,0,0,0.28999999165535,0,0,0,4,138.899993896484,0,0,1,0,0.0840999931097031,0,19293.208984375
0,0,0,0.400000005960464,0,0,12,0,0,0,0,1,0,0.160000011324883,144,0
0,0,0,0.6700000166893,0,0,0,0,0,6,1,0,0,0.448900014162064,0,0
0,0,0,0,0,0,0,4,90.6999969482422,0,0,0,1,0,0,8226.4892578125
2,1,1,0,0,0,0,1,8.60000038146973,0,0,0,0,0,0,73.9600067138672
5,3,4,0,0,0,0,3,22.3999996185303,0,0,1,0,0,0,501.759979248047
1,1,1,0.379999995231628,0,0,0,4,53,0,0,0,0,0.144400000572205,0,2809
5,2,2,0.270000010728836,0,0,0,1,0.699999988079071,2,0,1,0,0.0729000046849251,0,0.489999979734421
0,0,0,0.400000005960464,0,0,0,0,0,9,1,0,0,0.160000011324883,0,0
2,2,1,0.5,0,0,0,4,24.7999992370605,0,0,1,0,0.25,0,615.039978027344
1,1,1,0.600000023841858,0,0,0,0,0,19,0,0,0,0.360000014305115,0,0
0,0,0,1,0,0,0,4,131.199996948242,0,0,0,1,1,0,17213.439453125
0,0,0,0,0,0,0,4,144.600006103516,0,0,0,0,0,0,20909.162109375
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,1,0,0,0,0,0,2,6.19999980926514,0,1,0,1,0,0,38.439998626709
0,0,0,0.569999992847443,18.3999996185303,36.7999992370605,2,1.79999995231628,5.59999990463257,10.8999996185303,0,1,0,0.32490000128746,4,31.3599987030029
0,0,0,1,0,0,0,1,3.40000009536743,17,0,0,0,1,0,11.5600004196167
0,0,0,0.5,0,0,0,3,37.5,6,0,0,0,0.25,0,1406.25
0,0,0,0.5,0,0,0,0,0,10,0,0,0,0.25,0,0
0,0,0,0.330000013113022,18.3999996185303,18.3999996185303,0,0,0,2,0,0,0,0.108900010585785,0,0
0,0,0,0.330000013113022,0,0,0,0,0,3,0,1,1,0.108900010585785,0,0
0,0,0,0.5,0,0,0,4,89.9000015258789,0,0,0,1,0.25,0,8082.01025390625
0,0,0,0.5,11,11,0,0,0,7,0,1,1,0.25,0,0
0,0,0,0.200000002980232,0,0,0,4,21.5,0,0,1,1,0.0400000028312206,0,462.25
0,0,0,0,0,0,0,4,164.899993896484,0,0,1,0,0,0,27192.0078125
1,1,1,0.629999995231628,8.89999961853027,8.89999961853027,7,0,0,1.89999997615814,0,0,1,0.396899998188019,49,0
0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0
1,1,1,0,0,0,2,2,9.69999980926514,0,0,1,0,0,4,94.0899963378906
2,1,0,0.28999999165535,21.7000007629395,21.7000007629395,0,2,18.8999996185303,0,0,1,1,0.0840999931097031,0,357.209991455078
0,0,0,0.25,24.6000003814697,49.2000007629395,0,1,9.60000038146973,12.8999996185303,0,0,0,0.0625,0,92.1600036621094
0,0,0,1,0,0,0,1,0.699999988079071,17,0,0,1,1,0,0.489999979734421
2,2,0,0,0,0,0,1,29.2999992370605,1,0,0,1,0,0,858.489929199219
2,2,0,0.140000000596046,13.3999996185303,13.3999996185303,0,1,1,0,1,0,1,0.0196000002324581,0,1
0,0,0,0,18.3999996185303,18.3999996185303,0,1,21.2999992370605,3,0,0,0,0,0,453.689971923828
0,0,0,0.5,0,0,0,4,33.4000015258789,0,0,1,0,0.25,0,1115.56005859375
0,0,0,0,0,0,0,4,117.800003051758,0,0,0,1,0,0,13876.8408203125
0,0,0,0.330000013113022,0,0,0,2,29.1000003814697,0,0,0,1,0.108900010585785,0,846.809997558594
0,0,0,1,0,0,0,4,240.800003051758,0,0,0,1,1,0,57984.640625
0,0,0,0,0,0,0,4,140.600006103516,0,0,0,1,0,0,19768.361328125
0,0,0,1,0,0,0,4,148.300003051758,0,0,0,1,1,0,21992.890625
0,0,0,0.75,0,0,0,4,14.6999998092651,0,0,0,1,0.5625,0,216.089996337891
0,0,0,0.8299999833107,7.80000019073486,31.2000007629395,0,2,10.5,0,0,0,1,0.688899993896484,0,110.25
0,0,0,0,0,0,0,1,7.90000009536743,7,0,0,0,0,0,62.4099998474121
1,0,0,0.310000002384186,0,0,0,0,0,23,0,0,1,0.0961000025272369,0,0
2,1,0,0.5,0,0,0,1,6.19999980926514,0,0,1,1,0.25,0,38.439998626709
1,0,0,0.5,0,0,0,0,0,2,0,1,1,0.25,0,0
0,0,0,0.5,0,0,0,0,0,3,1,0,0,0.25,0,0
1,1,1,1,0,0,0,2,2.90000009536743,1,0,0,0,1,0,8.41000080108643
0,0,0,0.25,18.5,18.5,11,0,0,1,1,0,0,0.0625,121,0
0,0,0,0.6700000166893,0,0,0,2,2.90000009536743,0,0,0,1,0.448900014162064,0,8.41000080108643
0,0,0,0.6700000166893,0,0,0,1,4.09999990463257,0,0,0,1,0.448900014162064,0,16.8099994659424
3,3,0,0.330000013113022,11.8999996185303,11.8999996185303,0,0,0,1,0,0,0,0.108900010585785,0,0
0,0,0,0.170000001788139,10.8999996185303,10.8999996185303,9,0,0,4,0,1,1,0.0289000011980534,81,0
0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
1,1,0,0.330000013113022,0,0,0,0,0,20,1,0,0,0.108900010585785,0,0
0,0,0,0.5,0,0,0,0,0,4,0,0,1,0.25,0,0
0,0,0,0.330000013113022,0,0,0,1,0.200000002980232,0,0,0,1,0.108900010585785,0,0.0400000028312206
0,0,0,0,0,0,0,3,61.2999992370605,0,0,0,0,0,0,3757.68994140625
0,0,0,0,0,0,0,4,276.200012207031,0,0,1,1,0,0,76286.4453125
0,0,0,0.25,9.10000038146973,9.10000038146973,12,0,0,0,1,0,0,0.0625,144,0
