No,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(万円)
00,元山飛優,内野手,1998-12-04,27,6,181,82,AB,右左,大阪,1200
0,木浪聖也,内野手,1994-06-15,31,8,179,81,O,右左,青森,5500
1,森下翔太,外野手,2000-08-14,25,4,182,93,O,右右,神奈川,21000
2,梅野隆太郎,捕手,1991-06-17,34,13,173,75,A,右右,福岡,12000
3,大山悠輔,内野手,1994-12-19,31,10,181,96,O,右右,茨城,34000
4,熊谷敬宥,内野手,1995-11-10,30,9,175,69,A,右右,宮城,3000
5,近本光司,外野手,1994-11-09,31,8,171,71,B,左左,兵庫,50000
7,中野拓夢,内野手,1996-06-28,29,6,172,68,A,右左,山形,30000
8,佐藤輝明,内野手,1999-03-13,27,6,187,96,B,右左,兵庫,45000
9,立石正広,内野手,2003-11-01,22,1,180,87,O,右右,山口,1600
12,坂本誠志郎,捕手,1993-11-10,32,11,176,79,O,右右,兵庫,10000
13,岩崎優,投手,1991-06-19,34,13,185,92,B,左左,静岡,20000
14,岩貞祐太,投手,1991-09-05,34,13,183,86,A,左左,熊本,10000
16,西勇輝,投手,1990-11-10,35,18,181,83,B,右右,三重,30000
17,伏見寅威,捕手,1990-05-12,35,14,182,89,AB,右右,北海道,10000
18,伊原陵人,投手,2000-08-07,25,2,170,75,B,左左,奈良,3600
19,下村海翔,投手,2002-03-27,24,3,174,70,A,右右,兵庫,1100
21,大竹耕太郎,投手,1995-06-29,30,9,184,87,A,左左,熊本,13000
24,ディベイニー,内野手,1997-04-13,29,1,185,88,不明,右右,アメリカ,13950
25,谷端将伍,内野手,2004-03-17,22,1,178,80,B,右右,石川,1200
26,椎葉剛,投手,2002-03-18,24,3,183,92,A,右右,大阪,1000
27,伊藤将司,投手,1996-05-08,29,6,179,83,AB,左左,千葉,14000
28,今朝丸裕喜,投手,2006-06-02,19,2,188,75,A,右右,兵庫,720
29,髙橋遥人,投手,1995-11-07,30,9,181,82,A,左左,静岡,3000
30,門別啓人,投手,2004-07-10,21,4,183,86,A,左左,北海道,1200
32,濱田太貴,外野手,2000-09-04,25,8,177,81,A,右右,福岡,1600
33,糸原健斗,内野手,1992-11-11,33,10,175,80,O,右左,島根,5500
34,岡城快生,外野手,2003-06-23,22,1,183,83,O,右右,岡山,960
35,才木浩人,投手,1998-11-07,27,10,189,90,A,右右,兵庫,25000
36,畠世周,投手,1994-05-31,31,10,186,94,AB,右左,広島,2000
37,及川雅貴,投手,2001-04-18,25,7,184,86,O,左左,千葉,10000
38,小幡竜平,内野手,2000-09-21,25,8,184,78,B,右左,大分,4000
39,榮枝裕貴,捕手,1998-05-16,27,6,180,84,A,右右,高知,1000
40,井坪陽生,外野手,2005-03-17,21,4,177,89,A,右右,東京,700
41,村上頌樹,投手,1998-06-25,27,6,175,84,A,右左,兵庫,23000
42,ルーカス,投手,1996-09-23,29,1,191,94,不明,左左,アメリカ,18600
43,町田隼乙,捕手,2003-04-03,23,2,186,86,A,右右,神奈川,730
44,早瀬朔,投手,2007-08-30,18,1,185,79,O,右左,兵庫,480
45,佐野大陽,内野手,2002-02-14,24,2,178,79,A,右右,静岡,730
46,ラグズデール,投手,1998-05-25,27,1,203,106,不明,右右,アメリカ,12400
47,桐敷拓馬,投手,1999-06-20,26,5,179,92,O,左左,埼玉,8500
48,茨木秀俊,投手,2004-06-08,21,4,183,87,A,右右,北海道,550
49,工藤泰成,投手,2001-11-19,24,2,177,82,A,右左,秋田,840
50,富田蓮,投手,2001-09-06,24,4,176,78,B,左左,岐阜,2500
51,早川太貴,投手,1999-12-18,26,2,186,93,O,右右,北海道,720
52,山田脩也,内野手,2005-08-20,20,3,177,72,A,右右,宮城,600
53,島田海吏,外野手,1996-02-06,30,9,176,74,AB,右左,熊本,3000
54,木下里都,投手,2001-01-27,25,2,183,89,A,右右,福岡,1200
55,能登嵩都,投手,2001-09-29,24,1,184,88,A,右右,北海道,660
56,百﨑蒼生,内野手,2005-09-11,20,3,179,77,B,右右,熊本,500
57,長坂拳弥,捕手,1994-04-28,32,10,173,84,B,右右,群馬,1200
58,前川右京,外野手,2003-05-18,22,5,176,92,O,左左,三重,3100
59,藤田健斗,捕手,2001-10-18,24,7,173,78,A,右右,滋賀,540
60,小野寺暖,外野手,1998-03-17,28,7,183,81,A,右右,奈良,1500
61,豊田寛,外野手,1997-04-28,29,5,178,87,B,右右,神奈川,1130
62,植田海,内野手,1996-04-19,30,12,175,69,O,右両,滋賀,2500
63,石黒佑弥,投手,2001-06-20,24,3,180,86,O,右右,愛知,900
64,岡留英貴,投手,1999-11-07,26,5,181,96,O,右右,沖縄,1900
65,湯浅京己,投手,1999-07-17,26,8,183,86,O,右右,三重,6000
66,津田淳哉,投手,2001-08-27,24,3,179,82,O,右右,奈良,720
67,髙寺望夢,内野手,2002-10-17,23,6,178,78,O,右左,長野,2000
68,中川勇斗,捕手,2004-01-27,22,5,172,76,O,右右,愛知,1000
69,石井大智,投手,1997-07-29,28,6,175,79,O,右右,秋田,20000
85,嶋村麟士朗,捕手,2003-07-13,22,2,177,90,O,右左,高知,300
92,福島圭音,外野手,2001-10-06,24,3,171,69,O,右左,埼玉,300
98,ドリス,投手,1988-01-10,38,6,196,106,不明,右右,ドミニカ共和国,10000
99,モレッタ,投手,1996-04-15,30,1,188,102,不明,右右,ドミニカ共和国,15500
120,西純矢,外野手,2001-09-13,24,7,184,99,O,右右,広島,1500
121,戸井零士,内野手,2005-01-18,21,4,181,80,A,右右,大阪,480
122,小川一平,投手,1997-06-03,28,7,183,86,A,右右,神奈川,650
123,松原快,投手,1999-08-24,26,3,180,93,O,右右,富山,300
125,伊藤稜,投手,1999-11-08,26,5,178,88,B,左左,愛知,350
127,神宮僚介,投手,2003-05-27,22,1,178,81,A,右右,群馬,300
129,山﨑照英,外野手,2002-12-01,23,1,174,67,A,右左,長崎,300
130,川﨑俊哲,内野手,2001-05-02,25,2,174,72,B,右左,石川,300
132,マルティネス,投手,2000-01-10,26,3,190,96,不明,右右,ドミニカ共和国,300
133,アルナエス,内野手,2002-08-22,23,2,176,87,不明,右右,パナマ,300
134,コンスエグラ,外野手,2000-09-24,25,2,190,93,不明,右右,ドミニカ共和国,300
